Project,File,HistoryIndex,FileChangeCount
xerces2-j,6097.json,1,5
xerces2-j,5407.json,0,4
xerces2-j,2690.json,1,3
xerces2-j,5946.json,0,2
xerces2-j,4965.json,0,4
xerces2-j,214.json,0,5
xerces2-j,383.json,0,4
xerces2-j,7808.json,0,2
xerces2-j,2360.json,0,3
xerces2-j,2808.json,0,4
xerces2-j,5310.json,0,5
xerces2-j,4962.json,1,3
xerces2-j,223.json,0,3
xerces2-j,2918.json,0,4
xerces2-j,3859.json,0,5
xerces2-j,5286.json,0,3
xerces2-j,197.json,1,5
hibernate-orm,2773.json,0,5
hibernate-orm,821.json,1,4
hibernate-orm,2739.json,0,5
hibernate-orm,16872.json,1,3
hibernate-orm,20474.json,0,5
hibernate-orm,24830.json,3,4
hibernate-orm,4420.json,7,3
hibernate-orm,2770.json,0,5
hibernate-orm,28183.json,1,2
hibernate-orm,23506.json,1,2
hibernate-orm,22627.json,1,2
hibernate-orm,24831.json,3,4
hibernate-orm,25285.json,5,4
hibernate-orm,8450.json,0,2
hibernate-orm,20924.json,0,5
hibernate-orm,9570.json,2,4
hibernate-orm,8449.json,0,2
hibernate-orm,26225.json,0,5
hibernate-orm,2457.json,0,5
hibernate-orm,25994.json,4,4
hibernate-orm,1510.json,0,2
hibernate-orm,16772.json,1,3
hibernate-orm,9569.json,1,4
hibernate-orm,22654.json,3,2
hibernate-orm,16763.json,0,3
hibernate-orm,4418.json,0,5
hibernate-orm,25085.json,7,3
hibernate-orm,22935.json,0,3
hibernate-orm,18961.json,0,5
hibernate-orm,4417.json,0,5
